num,gear_long,method,code,gear,flag,area
1,LL,L,1.LL.ALL.1,LL,ALL,1
2,LL,L,2.LL.ALL.1,LL,ALL,1
3,LL,L,3.LL.US.1,LL,US,1
4,LL,L,4.LL.ALL.4,LL,ALL,4
5,LL,L,5.LL.OS.4,LL,OS,4
6,LL,L,6.LL.OS.2,LL,OS,2
7,LL,L,7.LL.ALL.2,LL,ALL,2
8,LL,L,8.LL.ALL.3,LL,ALL,3
9,LL,L,9.LL.ALL.4,LL,ALL,4
10,LL,L,10.LL.AU.5,LL,AU,5
11,LL,L,11.LL.ALL.5,LL,ALL,5
12,LL,L,12.LL.ALL.5,LL,ALL,5
13,PS.ASS,SA,13.PS.ASS.4a,PS.ASS,ALL,4
14,PS.UNA,SU,14.PS.UNA.4,PS.UNA,ALL,4
15,PS.ASS,SA,15.PS.ASS.4b,PS.ASS,ALL,4
16,PS.UNA,SU,16.PS.UNA.4,PS.UNA,ALL,4
17,MISC,Z,17.MISC.PH.2,MISC,PH,2
18,HL,Z,18.HL.PHID.2,MISC,PH.ID,2
19,PS,S,19.PS.JP.1,PS,JP,1
20,PL,P,20.PL.JP.1,PL,JP,1
21,PL,P,21.PL.ALL.4,PL,ALL,4
22,PL,P,22.PL.ALL.3,PL,ALL,3
23,MISC,Z,23.MISC.ID.2,MISC,ID,2
24,PS,S,24.PS.PHID.2,PS,PH.ID,2
25,PS.ASS,SA,25.PS.ASS.3,PS.ASS,ALL,3
26,PS.UNA,SU,26.PS.UNA.3,PS.UNA,ALL,3
27,LL,L,27.LL.AU.5,LL,AU,5
28,PL,P,28.PL.ALL.2,PL,ALL,2
29,LL,L,29.LL.ALL.5,LL,ALL,5
30,PS.ASS,SA,30.PS.ASS.2,PS.ASS,ALL,2
31,PS.UNA,SU,31.PS.UNA.2,PS.UNA,ALL,2
32,MISC,Z,32.MISC.VN.2,MISC,VN,2
33,Index,I,33.LL.IDX.1,LL,IDX,1
34,Index,I,34.LL.IDX.2,LL,IDX,2
35,Index,I,35.LL.IDX.3,LL,IDX,3
36,Index,I,36.LL.IDX.4,LL,IDX,4
37,Index,I,37.LL.IDX.5,LL,IDX,5
