year,season,f
1952,1,0.0005779
1953,1,0.0007369
1954,1,0.0009068
1955,1,0.0007259
1956,1,0.0008504
1957,1,0.001084
1958,1,0.0009728
1959,1,0.001389
1960,1,0.001839
1961,1,0.001657
1962,1,0.002445
1963,1,0.001401
1964,1,0.001714
1965,1,0.001441
1966,1,0.001881
1967,1,0.001515
1968,1,0.001819
1969,1,0.001888
1970,1,0.003253
1971,1,0.003118
1972,1,0.003995
1973,1,0.00403
1974,1,0.004591
1975,1,0.004969
1976,1,0.004889
1977,1,0.006077
1978,1,0.006287
1979,1,0.007726
1980,1,0.008327
1981,1,0.007968
1982,1,0.009752
1983,1,0.01061
1984,1,0.01124
1985,1,0.01116
1986,1,0.0123
1987,1,0.01174
1988,1,0.01179
1989,1,0.01278
1990,1,0.01605
1991,1,0.02264
1992,1,0.02216
1993,1,0.01988
1994,1,0.01942
1995,1,0.02371
1996,1,0.02582
1997,1,0.02437
1998,1,0.03365
1999,1,0.0242
2000,1,0.02953
2001,1,0.02694
2002,1,0.03169
2003,1,0.04014
2004,1,0.03518
2005,1,0.02913
2006,1,0.03185
2007,1,0.03377
2008,1,0.03071
2009,1,0.02965
2010,1,0.03265
2011,1,0.03086
2012,1,0.04005
2013,1,0.03709
2014,1,0.03604
2015,1,0.03379
2016,1,0.03342
2017,1,0.03908
2018,1,0.03802
2019,1,0.04177
2020,1,0.03876
2021,1,0.03697
1952,2,0.0006891
1953,2,0.0008846
1954,2,0.001036
1955,2,0.001136
1956,2,0.0009007
1957,2,0.0009268
1958,2,0.001644
1959,2,0.001667
1960,2,0.002391
1961,2,0.002319
1962,2,0.00208
1963,2,0.001793
1964,2,0.001774
1965,2,0.002107
1966,2,0.003475
1967,2,0.001946
1968,2,0.002703
1969,2,0.002793
1970,2,0.003435
1971,2,0.003612
1972,2,0.004093
1973,2,0.004673
1974,2,0.005268
1975,2,0.005435
1976,2,0.006088
1977,2,0.006961
1978,2,0.007604
1979,2,0.009335
1980,2,0.01013
1981,2,0.01125
1982,2,0.01006
1983,2,0.01131
1984,2,0.01109
1985,2,0.01319
1986,2,0.01096
1987,2,0.01252
1988,2,0.01285
1989,2,0.01578
1990,2,0.02077
1991,2,0.02512
1992,2,0.02563
1993,2,0.02308
1994,2,0.02473
1995,2,0.02239
1996,2,0.02218
1997,2,0.02607
1998,2,0.03088
1999,2,0.02951
2000,2,0.03167
2001,2,0.03182
2002,2,0.02948
2003,2,0.03343
2004,2,0.03359
2005,2,0.03146
2006,2,0.03414
2007,2,0.03357
2008,2,0.03166
2009,2,0.03578
2010,2,0.03358
2011,2,0.03433
2012,2,0.03995
2013,2,0.03544
2014,2,0.03918
2015,2,0.03693
2016,2,0.03715
2017,2,0.04022
2018,2,0.04128
2019,2,0.038
2020,2,0.0422
2021,2,0.03586
1952,3,0.0004068
1953,3,0.0007942
1954,3,0.0005605
1955,3,0.0005215
1956,3,0.000323
1957,3,0.0008229
1958,3,0.00128
1959,3,0.0009636
1960,3,0.001127
1961,3,0.001966
1962,3,0.00239
1963,3,0.002082
1964,3,0.001848
1965,3,0.001884
1966,3,0.002663
1967,3,0.001658
1968,3,0.001984
1969,3,0.00208
1970,3,0.002855
1971,3,0.003239
1972,3,0.003968
1973,3,0.005153
1974,3,0.004735
1975,3,0.004857
1976,3,0.005608
1977,3,0.006855
1978,3,0.007225
1979,3,0.009048
1980,3,0.01031
1981,3,0.01007
1982,3,0.009868
1983,3,0.01268
1984,3,0.01513
1985,3,0.01296
1986,3,0.01102
1987,3,0.01359
1988,3,0.01403
1989,3,0.01844
1990,3,0.02095
1991,3,0.0183
1992,3,0.0247
1993,3,0.02452
1994,3,0.02503
1995,3,0.0252
1996,3,0.02342
1997,3,0.02715
1998,3,0.03102
1999,3,0.02836
2000,3,0.0313
2001,3,0.03257
2002,3,0.03324
2003,3,0.03534
2004,3,0.04378
2005,3,0.04214
2006,3,0.03057
2007,3,0.03066
2008,3,0.0415
2009,3,0.03003
2010,3,0.03238
2011,3,0.03004
2012,3,0.03919
2013,3,0.03172
2014,3,0.03622
2015,3,0.03795
2016,3,0.04276
2017,3,0.0466
2018,3,0.03707
2019,3,0.03461
2020,3,0.03252
2021,3,0.03712
1952,4,0.0007049
1953,4,0.000807
1954,4,0.0007553
1955,4,0.0005176
1956,4,0.0007187
1957,4,0.001717
1958,4,0.001239
1959,4,0.001428
1960,4,0.001482
1961,4,0.002131
1962,4,0.001975
1963,4,0.002441
1964,4,0.001408
1965,4,0.001622
1966,4,0.002157
1967,4,0.001562
1968,4,0.001433
1969,4,0.001907
1970,4,0.003008
1971,4,0.003218
1972,4,0.002944
1973,4,0.003982
1974,4,0.004486
1975,4,0.0051
1976,4,0.005408
1977,4,0.006121
1978,4,0.006549
1979,4,0.00812
1980,4,0.007695
1981,4,0.008347
1982,4,0.009481
1983,4,0.01251
1984,4,0.01058
1985,4,0.0116
1986,4,0.0111
1987,4,0.01203
1988,4,0.01083
1989,4,0.0155
1990,4,0.01723
1991,4,0.02056
1992,4,0.02
1993,4,0.02033
1994,4,0.02455
1995,4,0.02573
1996,4,0.02351
1997,4,0.03141
1998,4,0.03322
1999,4,0.03135
2000,4,0.03098
2001,4,0.03439
2002,4,0.02789
2003,4,0.03505
2004,4,0.03892
2005,4,0.03718
2006,4,0.03567
2007,4,0.03297
2008,4,0.03829
2009,4,0.03529
2010,4,0.042
2011,4,0.04154
2012,4,0.04172
2013,4,0.03946
2014,4,0.03876
2015,4,0.03124
2016,4,0.03765
2017,4,0.03698
2018,4,0.03991
2019,4,0.03428
2020,4,0.03944
2021,4,0.04434
