age,length,weight,maturity,natmort
 1, 19.8, 0.2,0.001,0.854
 2, 35.0, 0.9,0.001,0.483
 3, 48.3, 2.3,0.003,0.350
 4, 60.0, 4.3,0.008,0.282
 5, 70.2, 6.8,0.022,0.241
 6, 79.2, 9.7,0.051,0.214
 7, 87.0,12.8,0.109,0.194
 8, 93.9,16.1,0.206,0.180
 9,100.0,19.3,0.344,0.169
10,105.2,22.5,0.504,0.161
11,109.9,25.6,0.654,0.154
12,113.9,28.6,0.775,0.148
13,117.5,31.3,0.863,0.144
14,120.6,33.8,0.922,0.140
15,123.3,36.2,0.960,0.137
16,125.7,38.3,0.982,0.135
17,127.8,40.3,0.994,0.132
18,129.7,42.0,0.999,0.130
19,131.3,43.6,0.999,0.129
20,132.7,45.0,0.999,0.128
21,133.9,46.3,0.996,0.126
22,135.0,47.4,0.993,0.125
23,135.9,48.4,0.989,0.124
24,136.8,49.3,0.985,0.124
25,137.5,50.1,0.981,0.123
26,138.1,50.8,0.978,0.122
27,138.7,51.4,0.974,0.122
28,139.2,51.9,0.971,0.122
29,139.6,52.4,0.969,0.121
30,140.0,52.8,0.966,0.121
31,140.3,53.2,0.964,0.120
32,140.6,53.5,0.962,0.120
33,140.9,53.8,0.960,0.120
34,141.1,54.1,0.958,0.120
35,141.3,54.3,0.957,0.120
36,141.5,54.5,0.956,0.120
37,141.6,54.7,0.955,0.120
38,141.7,54.8,0.954,0.119
39,141.9,54.9,0.953,0.119
40,142.0,55.1,0.952,0.119
